,City/Municipality,Month,Year,Alive,Death
0,ALFONSO,January,2014,1,1.0
1,ALFONSO,February,2014,1,0.0
2,ALFONSO,March,2014,2,0.0
3,ALFONSO,April,2014,1,0.0
4,ALFONSO,May,2014,1,0.0
5,ALFONSO,June,2014,1,0.0
6,ALFONSO,July,2014,7,0.0
7,ALFONSO,August,2014,8,0.0
8,ALFONSO,September,2014,6,0.0
9,ALFONSO,October,2014,3,0.0
10,ALFONSO,November,2014,3,0.0
11,ALFONSO,December,2014,2,0.0
12,ALFONSO,January,2015,6,0.0
13,ALFONSO,February,2015,5,0.0
14,ALFONSO,March,2015,5,0.0
15,ALFONSO,April,2015,5,0.0
16,ALFONSO,May,2015,1,0.0
17,ALFONSO,June,2015,10,0.0
18,ALFONSO,July,2015,17,0.0
19,ALFONSO,August,2015,22,0.0
20,ALFONSO,September,2015,27,0.0
21,ALFONSO,October,2015,18,0.0
22,ALFONSO,November,2015,13,0.0
23,ALFONSO,December,2015,5,0.0
24,ALFONSO,January,2016,6,0.0
25,ALFONSO,February,2016,6,0.0
26,ALFONSO,March,2016,3,0.0
27,ALFONSO,April,2016,5,0.0
28,ALFONSO,May,2016,5,0.0
29,ALFONSO,June,2016,11,2.0
30,ALFONSO,July,2016,17,0.0
31,ALFONSO,August,2016,10,0.0
32,ALFONSO,September,2016,10,0.0
33,ALFONSO,October,2016,4,0.0
34,ALFONSO,November,2016,2,0.0
35,ALFONSO,December,2016,2,0.0
36,ALFONSO,January,2017,4,0.0
37,ALFONSO,February,2017,0,0.0
38,ALFONSO,March,2017,1,0.0
39,ALFONSO,April,2017,2,0.0
40,ALFONSO,May,2017,0,0.0
41,ALFONSO,June,2017,1,0.0
42,ALFONSO,July,2017,8,0.0
43,ALFONSO,August,2017,9,0.0
44,ALFONSO,September,2017,12,0.0
45,ALFONSO,October,2017,4,0.0
46,ALFONSO,November,2017,5,0.0
47,ALFONSO,December,2017,4,0.0
48,ALFONSO,January,2018,6,1.0
49,ALFONSO,February,2018,5,0.0
50,ALFONSO,March,2018,1,0.0
51,ALFONSO,April,2018,1,0.0
52,ALFONSO,May,2018,1,0.0
53,ALFONSO,June,2018,3,0.0
54,ALFONSO,July,2018,7,0.0
55,ALFONSO,August,2018,9,0.0
56,ALFONSO,September,2018,4,0.0
57,ALFONSO,October,2018,5,0.0
58,ALFONSO,November,2018,3,0.0
59,ALFONSO,December,2018,4,0.0
60,ALFONSO,January,2019,8,0.0
61,ALFONSO,February,2019,3,0.0
62,ALFONSO,March,2019,1,0.0
63,ALFONSO,April,2019,5,0.0
64,ALFONSO,May,2019,10,0.0
65,ALFONSO,June,2019,42,0.0
66,ALFONSO,July,2019,89,0.0
67,ALFONSO,August,2019,62,0.0
68,ALFONSO,September,2019,37,0.0
69,ALFONSO,October,2019,14,1.0
70,ALFONSO,November,2019,7,0.0
71,ALFONSO,December,2019,1,0.0
72,ALFONSO,January,2020,4,0.0
73,ALFONSO,February,2020,1,0.0
74,ALFONSO,March,2020,0,0.0
75,ALFONSO,April,2020,0,0.0
76,ALFONSO,May,2020,0,0.0
77,ALFONSO,June,2020,2,0.0
78,ALFONSO,July,2020,2,0.0
79,ALFONSO,August,2020,1,0.0
80,ALFONSO,September,2020,1,0.0
81,ALFONSO,October,2020,0,0.0
82,ALFONSO,November,2020,1,0.0
83,ALFONSO,December,2020,0,0.0
84,ALFONSO,January,2021,1,0.0
85,ALFONSO,February,2021,0,0.0
86,ALFONSO,March,2021,1,0.0
87,ALFONSO,April,2021,4,0.0
88,ALFONSO,May,2021,1,0.0
89,ALFONSO,June,2021,1,0.0
90,ALFONSO,July,2021,2,0.0
91,ALFONSO,August,2021,3,0.0
92,ALFONSO,September,2021,0,0.0
93,ALFONSO,October,2021,1,0.0
94,ALFONSO,November,2021,4,0.0
95,ALFONSO,December,2021,3,0.0
96,ALFONSO,January,2022,0,0.0
97,ALFONSO,February,2022,2,0.0
98,ALFONSO,March,2022,7,0.0
99,ALFONSO,April,2022,5,0.0
100,ALFONSO,May,2022,16,0.0
101,ALFONSO,June,2022,39,0.0
102,ALFONSO,July,2022,75,0.0
103,ALFONSO,August,2022,34,0.0
104,ALFONSO,September,2022,21,0.0
105,ALFONSO,October,2022,21,0.0
106,ALFONSO,November,2022,3,0.0
107,ALFONSO,December,2022,2,0.0
108,ALFONSO,January,2023,5,0.0
109,ALFONSO,February,2023,1,0.0
110,ALFONSO,March,2023,3,0.0
111,ALFONSO,April,2023,8,0.0
112,ALFONSO,May,2023,7,0.0
113,ALFONSO,June,2023,13,0.0
114,ALFONSO,July,2023,5,0.0
115,ALFONSO,August,2023,6,0.0
116,ALFONSO,September,2023,11,0.0
117,ALFONSO,October,2023,9,0.0
118,ALFONSO,November,2023,6,0.0
119,ALFONSO,December,2023,4,0.0
120,ALFONSO,January,2024,9,0.0
121,ALFONSO,February,2024,6,0.0
122,ALFONSO,March,2024,6,0.0
123,ALFONSO,April,2024,9,0.0
124,ALFONSO,May,2024,21,0.0
125,ALFONSO,June,2024,37,0.0
126,ALFONSO,July,2024,55,0.0
127,ALFONSO,August,2024,52,0.0
128,ALFONSO,September,2024,20,0.0
129,ALFONSO,October,2024,12,0.0
130,ALFONSO,November,2024,13,0.0
131,ALFONSO,December,2024,9,0.0
132,AMADEO,January,2014,3,0.0
133,AMADEO,February,2014,2,0.0
134,AMADEO,March,2014,0,0.0
135,AMADEO,April,2014,6,0.0
136,AMADEO,May,2014,0,0.0
137,AMADEO,June,2014,0,0.0
138,AMADEO,July,2014,0,0.0
139,AMADEO,August,2014,5,0.0
140,AMADEO,September,2014,3,0.0
141,AMADEO,October,2014,1,0.0
142,AMADEO,November,2014,4,0.0
143,AMADEO,December,2014,4,0.0
144,AMADEO,January,2015,2,0.0
145,AMADEO,February,2015,3,0.0
146,AMADEO,March,2015,3,0.0
147,AMADEO,April,2015,3,0.0
148,AMADEO,May,2015,2,0.0
149,AMADEO,June,2015,8,0.0
150,AMADEO,July,2015,13,0.0
151,AMADEO,August,2015,47,0.0
152,AMADEO,September,2015,30,0.0
153,AMADEO,October,2015,46,0.0
154,AMADEO,November,2015,24,0.0
155,AMADEO,December,2015,10,0.0
156,AMADEO,January,2016,4,0.0
157,AMADEO,February,2016,7,0.0
158,AMADEO,March,2016,2,0.0
159,AMADEO,April,2016,10,0.0
160,AMADEO,May,2016,3,0.0
161,AMADEO,June,2016,7,0.0
162,AMADEO,July,2016,27,0.0
163,AMADEO,August,2016,40,0.0
164,AMADEO,September,2016,15,0.0
165,AMADEO,October,2016,5,0.0
166,AMADEO,November,2016,3,0.0
167,AMADEO,December,2016,3,0.0
168,AMADEO,January,2017,3,0.0
169,AMADEO,February,2017,1,0.0
170,AMADEO,March,2017,3,0.0
171,AMADEO,April,2017,1,0.0
172,AMADEO,May,2017,2,0.0
173,AMADEO,June,2017,9,0.0
174,AMADEO,July,2017,42,0.0
175,AMADEO,August,2017,35,0.0
176,AMADEO,September,2017,16,0.0
177,AMADEO,October,2017,20,0.0
178,AMADEO,November,2017,8,0.0
179,AMADEO,December,2017,10,0.0
180,AMADEO,January,2018,9,0.0
181,AMADEO,February,2018,3,0.0
182,AMADEO,March,2018,3,0.0
183,AMADEO,April,2018,0,0.0
184,AMADEO,May,2018,3,0.0
185,AMADEO,June,2018,4,0.0
186,AMADEO,July,2018,8,0.0
187,AMADEO,August,2018,6,0.0
188,AMADEO,September,2018,0,0.0
189,AMADEO,October,2018,4,0.0
190,AMADEO,November,2018,8,0.0
191,AMADEO,December,2018,3,0.0
192,AMADEO,January,2019,4,0.0
193,AMADEO,February,2019,2,0.0
194,AMADEO,March,2019,1,0.0
195,AMADEO,April,2019,0,0.0
196,AMADEO,May,2019,2,0.0
197,AMADEO,June,2019,4,0.0
198,AMADEO,July,2019,48,0.0
199,AMADEO,August,2019,68,0.0
200,AMADEO,September,2019,44,0.0
201,AMADEO,October,2019,26,0.0
202,AMADEO,November,2019,7,0.0
203,AMADEO,December,2019,7,0.0
204,AMADEO,January,2020,3,0.0
205,AMADEO,February,2020,1,0.0
206,AMADEO,March,2020,2,0.0
207,AMADEO,April,2020,0,0.0
208,AMADEO,May,2020,0,0.0
209,AMADEO,June,2020,0,0.0
210,AMADEO,July,2020,0,0.0
211,AMADEO,August,2020,1,0.0
212,AMADEO,September,2020,0,0.0
213,AMADEO,October,2020,0,0.0
214,AMADEO,November,2020,1,0.0
215,AMADEO,December,2020,2,0.0
216,AMADEO,January,2021,3,0.0
217,AMADEO,February,2021,2,0.0
218,AMADEO,March,2021,2,0.0
219,AMADEO,April,2021,1,0.0
220,AMADEO,May,2021,5,0.0
221,AMADEO,June,2021,3,0.0
222,AMADEO,July,2021,5,0.0
223,AMADEO,August,2021,4,0.0
224,AMADEO,September,2021,1,0.0
225,AMADEO,October,2021,1,0.0
226,AMADEO,November,2021,0,0.0
227,AMADEO,December,2021,4,0.0
228,AMADEO,January,2022,0,0.0
229,AMADEO,February,2022,3,0.0
230,AMADEO,March,2022,1,0.0
231,AMADEO,April,2022,0,0.0
232,AMADEO,May,2022,0,0.0
233,AMADEO,June,2022,2,0.0
234,AMADEO,July,2022,12,0.0
235,AMADEO,August,2022,28,0.0
236,AMADEO,September,2022,25,0.0
237,AMADEO,October,2022,25,0.0
238,AMADEO,November,2022,1,0.0
239,AMADEO,December,2022,3,0.0
240,AMADEO,January,2023,0,0.0
241,AMADEO,February,2023,0,0.0
242,AMADEO,March,2023,2,0.0
243,AMADEO,April,2023,4,0.0
244,AMADEO,May,2023,3,0.0
245,AMADEO,June,2023,4,0.0
246,AMADEO,July,2023,1,0.0
247,AMADEO,August,2023,2,0.0
248,AMADEO,September,2023,3,0.0
249,AMADEO,October,2023,10,0.0
250,AMADEO,November,2023,2,0.0
251,AMADEO,December,2023,1,0.0
252,AMADEO,January,2024,2,0.0
253,AMADEO,February,2024,1,0.0
254,AMADEO,March,2024,3,0.0
255,AMADEO,April,2024,1,0.0
256,AMADEO,May,2024,3,0.0
257,AMADEO,June,2024,1,0.0
258,AMADEO,July,2024,8,0.0
259,AMADEO,August,2024,14,0.0
260,AMADEO,September,2024,13,0.0
261,AMADEO,October,2024,11,0.0
262,AMADEO,November,2024,12,0.0
263,AMADEO,December,2024,10,0.0
264,BACOOR,January,2014,85,0.0
265,BACOOR,February,2014,42,0.0
266,BACOOR,March,2014,21,0.0
267,BACOOR,April,2014,9,0.0
268,BACOOR,May,2014,3,0.0
269,BACOOR,June,2014,6,0.0
270,BACOOR,July,2014,15,0.0
271,BACOOR,August,2014,25,1.0
272,BACOOR,September,2014,27,0.0
273,BACOOR,October,2014,61,0.0
274,BACOOR,November,2014,105,1.0
275,BACOOR,December,2014,61,0.0
276,BACOOR,January,2015,104,0.0
277,BACOOR,February,2015,72,0.0
278,BACOOR,March,2015,72,0.0
279,BACOOR,April,2015,72,0.0
280,BACOOR,May,2015,16,0.0
281,BACOOR,June,2015,11,0.0
282,BACOOR,July,2015,22,0.0
283,BACOOR,August,2015,58,0.0
284,BACOOR,September,2015,239,1.0
285,BACOOR,October,2015,477,1.0
286,BACOOR,November,2015,311,0.0
287,BACOOR,December,2015,108,1.0
288,BACOOR,January,2016,99,0.0
289,BACOOR,February,2016,71,0.0
290,BACOOR,March,2016,30,0.0
291,BACOOR,April,2016,19,0.0
292,BACOOR,May,2016,14,0.0
293,BACOOR,June,2016,9,0.0
294,BACOOR,July,2016,25,0.0
295,BACOOR,August,2016,53,0.0
296,BACOOR,September,2016,54,2.0
297,BACOOR,October,2016,54,0.0
298,BACOOR,November,2016,60,0.0
299,BACOOR,December,2016,59,0.0
300,BACOOR,January,2017,45,0.0
301,BACOOR,February,2017,29,0.0
302,BACOOR,March,2017,23,0.0
303,BACOOR,April,2017,14,0.0
304,BACOOR,May,2017,9,0.0
305,BACOOR,June,2017,17,0.0
306,BACOOR,July,2017,56,0.0
307,BACOOR,August,2017,89,1.0
308,BACOOR,September,2017,99,1.0
309,BACOOR,October,2017,82,4.0
310,BACOOR,November,2017,103,0.0
311,BACOOR,December,2017,79,0.0
312,BACOOR,January,2018,160,0.0
313,BACOOR,February,2018,88,0.0
314,BACOOR,March,2018,35,0.0
315,BACOOR,April,2018,15,0.0
316,BACOOR,May,2018,15,0.0
317,BACOOR,June,2018,10,0.0
318,BACOOR,July,2018,41,1.0
319,BACOOR,August,2018,103,0.0
320,BACOOR,September,2018,150,0.0
321,BACOOR,October,2018,244,5.0
322,BACOOR,November,2018,230,3.0
323,BACOOR,December,2018,154,0.0
324,BACOOR,January,2019,167,0.0
325,BACOOR,February,2019,100,0.0
326,BACOOR,March,2019,53,1.0
327,BACOOR,April,2019,8,0.0
328,BACOOR,May,2019,14,0.0
329,BACOOR,June,2019,26,0.0
330,BACOOR,July,2019,181,1.0
331,BACOOR,August,2019,392,0.0
332,BACOOR,September,2019,397,0.0
333,BACOOR,October,2019,334,1.0
334,BACOOR,November,2019,217,1.0
335,BACOOR,December,2019,175,0.0
336,BACOOR,January,2020,230,0.0
337,BACOOR,February,2020,75,0.0
338,BACOOR,March,2020,43,0.0
339,BACOOR,April,2020,4,0.0
340,BACOOR,May,2020,4,0.0
341,BACOOR,June,2020,3,0.0
342,BACOOR,July,2020,1,0.0
343,BACOOR,August,2020,7,0.0
344,BACOOR,September,2020,11,0.0
345,BACOOR,October,2020,19,0.0
346,BACOOR,November,2020,56,0.0
347,BACOOR,December,2020,61,0.0
348,BACOOR,January,2021,81,1.0
349,BACOOR,February,2021,67,0.0
350,BACOOR,March,2021,40,0.0
351,BACOOR,April,2021,14,0.0
352,BACOOR,May,2021,5,0.0
353,BACOOR,June,2021,12,0.0
354,BACOOR,July,2021,12,0.0
355,BACOOR,August,2021,9,1.0
356,BACOOR,September,2021,19,0.0
357,BACOOR,October,2021,42,0.0
358,BACOOR,November,2021,87,0.0
359,BACOOR,December,2021,57,0.0
360,BACOOR,January,2022,26,0.0
361,BACOOR,February,2022,30,0.0
362,BACOOR,March,2022,14,0.0
363,BACOOR,April,2022,21,0.0
364,BACOOR,May,2022,26,0.0
365,BACOOR,June,2022,37,0.0
366,BACOOR,July,2022,157,0.0
367,BACOOR,August,2022,183,0.0
368,BACOOR,September,2022,110,0.0
369,BACOOR,October,2022,110,0.0
370,BACOOR,November,2022,87,0.0
371,BACOOR,December,2022,92,0.0
372,BACOOR,January,2023,86,0.0
373,BACOOR,February,2023,44,0.0
374,BACOOR,March,2023,34,1.0
375,BACOOR,April,2023,24,0.0
376,BACOOR,May,2023,26,1.0
377,BACOOR,June,2023,59,0.0
378,BACOOR,July,2023,74,0.0
379,BACOOR,August,2023,81,0.0
380,BACOOR,September,2023,134,1.0
381,BACOOR,October,2023,209,0.0
