City/Municipality,Month,Year,Alive,Death
ALFONSO,January,2014,1,1
ALFONSO,February,2014,1,0
ALFONSO,March,2014,2,0
ALFONSO,April,2014,1,0
ALFONSO,May,2014,1,0
ALFONSO,June,2014,1,0
ALFONSO,July,2014,7,0
ALFONSO,August,2014,8,0
ALFONSO,September,2014,6,0
ALFONSO,October,2014,3,0
ALFONSO,November,2014,3,0
ALFONSO,December,2014,2,0
ALFONSO,January,2015,6,
ALFONSO,February,2015,5,
ALFONSO,March,2015,5,
ALFONSO,April,2015,5,
ALFONSO,May,2015,1,
ALFONSO,June,2015,10,0
ALFONSO,July,2015,17,0
ALFONSO,August,2015,22,0
ALFONSO,September,2015,27,0
ALFONSO,October,2015,18,0
ALFONSO,November,2015,13,0
ALFONSO,December,2015,5,0
ALFONSO,January,2016,6,
ALFONSO,February,2016,6,
ALFONSO,March,2016,3,
ALFONSO,April,2016,5,
ALFONSO,May,2016,5,
ALFONSO,June,2016,11,2
ALFONSO,July,2016,17,0
ALFONSO,August,2016,10,
ALFONSO,September,2016,10,
ALFONSO,October,2016,4,
ALFONSO,November,2016,2,
ALFONSO,December,2016,2,0
ALFONSO,January,2017,4,
ALFONSO,February,2017,0,
ALFONSO,March,2017,1,
ALFONSO,April,2017,2,
ALFONSO,May,2017,0,
ALFONSO,June,2017,1,
ALFONSO,July,2017,8,
ALFONSO,August,2017,9,
ALFONSO,September,2017,12,
ALFONSO,October,2017,4,
ALFONSO,November,2017,5,
ALFONSO,December,2017,4,
ALFONSO,January,2018,6,1
ALFONSO,February,2018,5,
ALFONSO,March,2018,1,
ALFONSO,April,2018,1,
ALFONSO,May,2018,1,
ALFONSO,June,2018,3,
ALFONSO,July,2018,7,
ALFONSO,August,2018,9,
ALFONSO,September,2018,4,
ALFONSO,October,2018,5,
ALFONSO,November,2018,3,
ALFONSO,December,2018,4,
ALFONSO,January,2019,8,
ALFONSO,February,2019,3,
ALFONSO,March,2019,1,
ALFONSO,April,2019,5,
ALFONSO,May,2019,10,
ALFONSO,June,2019,42,
ALFONSO,July,2019,89,
ALFONSO,August,2019,62,
ALFONSO,September,2019,37,
ALFONSO,October,2019,14,1
ALFONSO,November,2019,7,
ALFONSO,December,2019,1,
ALFONSO,January,2020,4,
ALFONSO,February,2020,1,
ALFONSO,March,2020,0,
ALFONSO,April,2020,0,
ALFONSO,May,2020,0,
ALFONSO,June,2020,2,
