Sh,Eh,Ih,Rh,Sm,Em,Im
4432873.0,0.0,451.0,73964.0,-977836.5,0.0,1000315.5
4401339.6946524065,29991.047897943776,1902.2516292443756,74055.0058204049,-910377.8996840976,-6.169203715378355,931356.3770010237
4372183.355598875,54867.79257222511,5816.272941487838,74420.57888741168,-847552.9329399174,-27.84973323571075,867150.2660500926
4345212.139845339,75299.43565066597,11504.978543358837,75271.44596063628,-789032.218105779,-72.635474372483,807368.2190587008
4320251.436638791,91875.09539657875,18405.51691648562,76755.95104814343,-734514.7751407283,-141.64081293861912,751703.7036711202
4297142.107840351,105113.10267475276,26061.18633472887,78971.60315016621,-683724.2208495691,-232.12077464083126,699871.3846010806
4275738.927374135,115469.22277126028,34104.99915770271,81974.85069690063,-636405.7095994286,-339.28626166058245,651605.8479024877
4255909.196686268,123343.92725037753,42245.54627739016,85789.32978596303,-592323.4551326482,-457.5274198221384,606660.3166511494
4237531.515497036,129088.8259689009,50254.85779708468,90412.80073697669,-551258.7053185655,-581.2066142325915,564805.3912073994
4220494.689372709,133012.3567583851,57957.994787844465,95822.95908105937,-513008.07000064343,-705.1428460817655,525827.8359085748
4204696.757738375,135384.81901017614,65224.140937959324,101982.28231348711,-477382.1243025354,-824.8789180363598,489529.42573184834
4190044.1278733592,136442.82735950773,71958.99264684637,108842.05212028374,-444204.22717594105,-936.7992042138578,455725.86044473195
4176450.802167356,136393.25276559233,78098.27208316649,116345.67298388253,-413309.5085621985,-1038.1480217219796,424245.74949903577
4163837.6874714266,135416.71039704382,83602.21045676037,124431.39167476629,-384543.98919810005,-1126.9849497115047,394929.66793937195
4152131.9767618515,133670.64676073732,88450.86860697315,133034.50787043557,-357763.80539781833,-1202.1031257353113,367629.28158979665
4141266.5945587754,131292.0723577924,92640.17934352922,142089.15373990018,-332834.5175922177,-1262.9288065795463,342206.5384957109
4131179.698618028,128399.98072151875,96178.6111140782,151529.70954637247,-309630.4864066883,-1309.4147020208136,318532.9228255817
4121814.231359154,125097.48990378548,99084.36578946786,161291.9129475896,-288034.3039215125,-1341.9353218673866,296488.76703768835
4113117.5153181697,121473.73826034248,101383.0348759461,171313.7115455387,-267936.2707121231,-1361.1894870972833,275962.6179863554
4105040.887633797,117605.5626682582,103105.64852047784,181535.90117746373,-249233.9115328457,-1368.1129246487455,256850.65268219437
4097539.369203797,113558.98403341754,104287.06043995338,191902.58632282863,-231831.52422462814,-1363.8023061877,239056.1395832861
4090571.364693608,109390.5220612677,104964.61954171305,202361.49370340805,-215639.75771952845,-1349.451028283611,222488.94152801417
4084098.3900539395,105148.35872019434,105177.08565930101,212864.1655665621,-200575.2159833175,-1326.2963319402782,207065.05669346533
4078084.82461466,100873.3675926053,104963.75259867798,223366.05519405412,-186560.08545029434,-1295.5769341545995,192706.19425459122
4072497.6851815097,96600.02432227369,104363.74676272742,233826.54373348656,-173521.78404090335,-1258.500093147666,179339.3817083521
4067306.419871621,92357.21163057856,103415.47398276727,244208.8945150308,-161392.63023010993,-1216.2169327331562,166896.60111155733
4062482.7196940845,88168.9308322897,102156.19100480447,254480.15846881896,-150109.5309138085,-1169.8048352614805,155314.4517474904
4058000.3461149507,84054.9304254079,100621.68138904693,264611.0420705921,-139613.68701536383,-1120.255758701741,144533.8369802267
4053834.9730510665,80031.2611281499,98846.01844887409,274575.7473719075,-129850.31591406435,-1068.4694211490537,134499.6732856267
4049964.0419130335,76110.7656756765,96861.40035940969,284351.79205187794,-120768.38987369837,-1015.2503950658851,125160.61964592768
4046366.628473236,72303.51075061863,94698.04471762723,293919.8160585157,-112320.38971562937,-961.3082730988629,116468.82568287439
4043023.320469629,68617.16758703768,92384.13172525412,303263.38021807675,-104462.0730285019,-907.2601769244695,108379.69706385685
4039916.104970483,65057.347072340825,89945.78672996334,312368.76122721075,-97152.25623517709,-853.6349926239398,100851.67685801511
4037028.264631826,61627.8944995751,87407.09432053992,321224.7465480566,-90352.60986647914,-800.8788158197165,93846.0416498788
4034344.282071926,58331.14853182232,84790.13740165395,329822.4319945953,-84027.46640802824,-749.3611864869463,87326.71133328046
4031849.751660089,55168.16847111328,82115.05561399744,338155.02425479813,-78143.64010042457,-699.3817690832229,81260.07159951304
4029531.2980892835,52138.93344953899,79400.11842025249,346217.6500409226,-72670.25808859653,-651.1772072100964,75614.80822437486
4027376.5011663763,49242.516745030545,76661.80897194195,354007.1731166488,-67578.60233188687,-604.9279450771492,70361.75233899988
4025373.8263051114,46477.23808727306,73914.91548192015,361522.02012569294,-62841.96170019782,-560.7648564126154,65473.73593274661
4023512.560261159,43840.796461001,71172.62747629274,368762.0158015446,-58435.49369959373,-518.7755705504256,60925.45690493974
4021782.751675831,41330.385737658224,68446.63458137965,375728.2280051289,-54336.095283086506,-479.0104056220038,56693.35301552872
4020175.1560599604,38942.79503324933,65747.22625951978,382422.8226472685,-50522.28222855902,-441.4878738016793,52755.484167693445
4018681.184854798,36674.495668909716,63083.39086654864,388848.92860974127,-46974.07657624425,-406.1997166719881,49091.422459270485
4017292.8582587624,34521.716258461696,60462.9130012754,395010.51248149836,-43672.90164455564,-373.1154695284122,45682.14950845996
4016002.761525005,32480.507353331617,57892.46821073833,400912.26291092293,-40601.48416002826,-342.1865551073344,42509.9605784571
4014804.004464006,30546.796886797638,55377.714372202834,406559.48427699105,-37743.763059426594,-313.3499212305488,39558.375062878324
4013690.1839074246,28716.43751893814,52923.37926645916,411957.99930717587,-35084.80454349739,-286.5312449261037,36812.05292406739
4012655.34890183,26985.246910437105,50533.34392224745,417114.0602654832,-32610.72297538643,-261.64772673536396,34256.71669149562
4011693.9684422137,25349.041695670447,48210.721627472194,422034.2682346417,-30308.607259402226,-238.61051017987998,31879.078682800147
4010800.901538736,23803.66603918334,45957.93233082755,426725.5000912513,-28166.4523254828,-217.3267518330486,29666.77308964189
4009971.36944912,22345.015415143233,43776.77243987857,431194.8426958564,-26173.095385792232,-197.70137672078062,27608.29262226628
4009200.9299172275,20969.056209275983,41668.48004116409,435449.533832331,-24318.156645821666,-179.63855059072796,25692.929419747557
4008485.4532692228,19671.841681384994,39633.795614741146,439496.9094346497,-22591.984169838513,-163.04289912664512,23910.71994933359
4007821.100228151,18449.52478633481,37673.018303550285,443344.35668196244,-20985.602614692667,-147.82050226211464,22252.393630909966
4007204.3013216387,17298.368258901886,35786.05792306047,446999.2724963971,-19490.665567751574,-133.87969209862985,20709.324945260858
4006631.7377673383,16214.75233073649,33972.482864734186,450469.02703718934,-18099.411242728995,-121.13167896197565,19273.488799228617
4006100.3237282094,15195.180408872287,32231.564070670163,453760.9317922465,-16804.62130123783,-109.4910285129273,17937.418933633948
4005607.1898363926,14236.28301110262,30562.315272723972,456882.21187977924,-15599.582580077153,-98.8760113570789,16694.169170804344
4005149.667893882,13334.820209578751,28963.529703189455,459839.9821933486,-14478.051521527887,-89.20884431727582,15537.27731392696
4004725.276665805,12487.682800397833,27433.813482206555,462641.2270515894,-13434.22111933703,-80.41583998639207,14460.731523630884
4004331.7086869683,11691.892398295966,25971.615880983765,465292.7830337513,-12462.69020330393,-72.42747959762536,13458.939006068435
4003966.8180076405,10944.600630798797,24575.25667035983,467801.3246912,-11558.434895913722,-65.17842299463733,12526.696856268733
4003628.6088109226,10243.087581963067,23242.950751219436,470173.35285589384,-10716.782087606587,-58.607467299234216,11659.164911771923
4003315.2248397144,9584.75961329832,21972.830261547675,472415.1852854392,-9933.384789464864,-52.657464237690725,10851.840482360414
4003024.9395752344,8967.146676498844,20762.964344424134,474532.9494038418,-9204.199230744323,-47.27520489283526,10100.534829330247
4002756.1471118755,8387.899222001226,19611.376759787556,476532.57690633496,-8525.463574811576,-42.411279862089884,9401.351273220627
4002507.3536790735,7844.784786935411,18516.06150904397,478419.8000249464,-7893.6781398161165,-38.01992105383642,8750.664820201173
4002277.1697640973,7335.684336137131,17474.99663483926,480200.149264926,-7305.58701775532,-34.05883050806784,8145.103203947303
4002064.3027930004,6858.588419914934,16486.15634876458,481878.95243831957,-6758.1609931355415,-30.48900078056936,7581.529246685487
4001867.5503287474,6411.593207583966,15547.521633506218,483461.33483016177,-6248.581666384043,-27.27453101550182,7057.024446707836
4001685.7937502624,5992.896441131924,14657.089454179402,484952.22035442595,-5774.226697838032,-24.382441609144113,6568.873709321707
4001517.9923781147,5600.793349315035,13812.880705209403,486356.3335673602,-5332.656092706912,-21.782490013132517,6114.551142507616
4001363.178015254,5233.67255566793,13012.947010277918,487678.20241879945,-4921.599453578389,-19.446989677146746,5691.706844310422
4001220.4498723405,4890.012011444496,12255.376487905689,488922.16162830865,-4538.944129682886,-17.35063393194716,5298.154611487382
