YEAR,MONTH,RAINFALL,TMAX,TMIN,TMEAN,RH
2013,1,37.6,30.2,24.2,27.2,78
2013,2,110,32,25,28.5,76
2013,3,58.4,33,26.1,29.5,73
2013,4,1.4,35.3,27.7,31.6,71
2013,5,47.4,35,28,31.6,75
2013,6,290.9,34.1,27.1,30.6,80
2013,7,533,32.7,25.9,29.3,82
2013,8,1339.5,31,25.5,28.3,86
2013,9,977.2,30.5,25.5,28,88
2013,10,246.3,31.2,25.7,28.5,82
2013,11,130.2,31.4,25.9,28.7,80
2013,12,28.8,31.3,25.4,28.4,79
2014,1,0.4,29.5,23.4,26.4,72
2014,2,3.3,31.3,24.1,27.7,73
2014,3,7.2,32.5,25.4,28.9,73
2014,4,1.2,35,26.8,30.9,72
2014,5,84.5,36.3,28.3,32.3,72
2014,6,321.4,33.2,27,30.1,80
2014,7,523.4,31.7,25.8,28.7,85
2014,8,296.8,32,26.5,29.3,83
2014,9,460.3,31.7,26.2,29,84
2014,10,212.9,32,26.2,29.1,82
2014,11,27.8,32,25.9,28.9,78
2014,12,163.2,30.1,25.2,27.7,81
2015,1,31.8,29.5,23.6,26.6,79
2015,2,1,30.7,24.1,27.4,75
2015,3,7.8,32,25.1,28.6,75
2015,4,0,34.3,26.8,30.6,73
2015,5,10.2,35.3,28,31.6,74
2015,6,166.8,34.6,27.7,31.2,77
2015,7,352.8,32.2,26.7,29.5,82
2015,8,312.6,32.6,26.7,29.7,82
2015,9,359.2,32.9,26.6,29.8,82
2015,10,188,32.1,26.7,29.4,81
2015,11,9.4,32.8,26.5,29.7,76
2015,12,294.7,31,25.3,28.1,80
2016,1,1.4,31.3,25.3,28.3,78
2016,2,80.6,30.8,24.9,27.8,77
2016,3,0.2,32.8,26.3,29.6,74
2016,4,20.2,35,27.9,31.4,70
2016,5,93.4,34.8,28.3,31.6,73
2016,6,182.2,33.4,27.5,30.5,79
2016,7,303,33.1,27,30,80
2016,8,775.4,31.1,26.6,28.8,85
2016,9,145.3,32.3,26.8,29.5,82
2016,10,208.8,32,26.6,29.3,81
2016,11,88.9,31.1,26,28.6,80
2016,12,89.8,30.9,25.8,28.4,79
2017,1,52.5,29.7,25,27.4,77
2017,2,5.4,30,24.5,27.3,74
