Year,Month_Num,Cases,RAINFALL,TMAX,TMIN,TMEAN,RH,Population_Density,Total_Population,Urban_Population,Urbanization_Rate
2014,1,373.0,0.4,29.5,23.4,26.4,72,2574.0,3673803.0,3261587.0,88.78
2014,2,131.0,3.3,31.3,24.1,27.7,73,2574.0,3673803.0,3261587.0,88.78
2014,3,75.0,7.2,32.5,25.4,28.9,73,2574.0,3673803.0,3261587.0,88.78
2014,4,57.0,1.2,35.0,26.8,30.9,72,2574.0,3673803.0,3261587.0,88.78
2014,5,43.0,84.5,36.3,28.3,32.3,72,2574.0,3673803.0,3261587.0,88.78
2014,6,45.0,321.4,33.2,27.0,30.1,80,2574.0,3673803.0,3261587.0,88.78
2014,7,102.0,523.4,31.7,25.8,28.7,85,2574.0,3673803.0,3261587.0,88.78
2014,8,175.0,296.8,32.0,26.5,29.3,83,2574.0,3673803.0,3261587.0,88.78
2014,9,314.0,460.3,31.7,26.2,29.0,84,2574.0,3673803.0,3261587.0,88.78
2014,10,402.0,212.9,32.0,26.2,29.1,82,2574.0,3673803.0,3261587.0,88.78
2014,11,572.0,27.8,32.0,25.9,28.9,78,2574.0,3673803.0,3261587.0,88.78
2014,12,318.0,163.2,30.1,25.2,27.7,81,2574.0,3673803.0,3261587.0,88.78
2015,1,584.0,31.8,29.5,23.6,26.6,79,2578.0,3678301.0,3649060.0,72.02
2015,2,512.0,1.0,30.7,24.1,27.4,75,2578.0,3678301.0,3649060.0,72.02
2015,3,512.0,7.8,32.0,25.1,28.6,75,2578.0,3678301.0,3649060.0,72.02
2015,4,512.0,0.0,34.3,26.8,30.6,73,2578.0,3678301.0,3649060.0,72.02
2015,5,133.0,10.2,35.3,28.0,31.6,74,2578.0,3678301.0,3649060.0,72.02
2015,6,268.0,166.8,34.6,27.7,31.2,77,2578.0,3678301.0,3649060.0,72.02
2015,7,698.0,352.8,32.2,26.7,29.5,82,2578.0,3678301.0,3649060.0,72.02
2015,8,1381.0,312.6,32.6,26.7,29.7,82,2578.0,3678301.0,3649060.0,72.02
2015,9,2526.0,359.2,32.9,26.6,29.8,82,2578.0,3678301.0,3649060.0,72.02
2015,10,3889.0,188.0,32.1,26.7,29.4,81,2578.0,3678301.0,3649060.0,72.02
2015,11,2391.0,9.4,32.8,26.5,29.7,76,2578.0,3678301.0,3649060.0,72.02
2015,12,735.0,294.7,31.0,25.3,28.1,80,2578.0,3678301.0,3649060.0,72.02
2016,1,688.0,1.4,31.3,25.3,28.3,78,2666.0,3805185.0,2440706.0,64.15
