S,E,I,R
4432415.0,458.0,451.0,73964.0
4432177.591549461,589.6217839169096,508.50161575580097,74012.28505086763
4431906.579012055,727.747262948147,586.2659323056935,74067.40779269116
4431591.94781633,880.255384458412,684.3901957004963,74131.4066035098
4431223.280347236,1053.959213800022,804.3577797913539,74206.4026591696
4430789.140945481,1255.3558320011396,948.7779014274262,74294.72532108835
4430276.552300158,1491.157367423782,1121.271251058907,74399.01908135785
4429670.503393305,1768.6970755301925,1326.455244687451,74522.34428647436
4428953.447289201,2096.270869225542,1570.0016445546232,74668.28019701641
4428104.757522622,2483.4542820848883,1858.7513503540972,74841.03684493704
4427100.117550355,2941.4224313356185,2200.878985966741,75045.58103234021
4425910.820206409,3483.2932743269907,2606.105145338646,75287.7813739239
4424502.954792934,4124.510166457484,3085.957812623025,75574.57722798511
4422836.458390421,4883.277738263128,3654.0871771753054,75914.17669413993
4420864.0063838735,5781.064086086252,4326.640191761964,76316.28933827691
4418529.714193498,6843.1824026641825,5122.703246108903,76792.40015772877
4415767.619833545,8099.465203436729,6064.822876935986,77356.09208608215
4412499.913360911,9585.044978669912,7179.616153135958,78023.42550728278
4408634.875929255,11341.255467059145,8498.484044008937,78813.38455967743
4404064.489453001,13416.667266670187,10058.442144176972,79748.40113615198
4398661.67317394,15868.271681724007,11903.08535118255,80854.96979315298
4392277.108404966,18762.82263542085,14083.701923605147,82164.36703600764
4384735.6091418415,22178.344102579173,16660.555024497313,83713.49173108069
4375832.006476251,26205.80269863332,19704.34678606843,85545.84403904616
4365326.526322373,30950.933297591906,23297.878391221482,87712.66198881301
4352939.660383957,36536.18926435829,27537.914334598958,90274.23601708398
4338346.563506394,43102.76412220481,32537.250196747038,93301.42217465419
4321171.060047532,50812.595448951084,38426.970558314766,96877.37394520127
4300979.412134358,59850.21508678816,45358.862346890935,101099.51043196302
4277274.101798647,70424.24340323673,53507.92114936025,106081.73364875608
4249488.01185259,82768.24214519441,63074.84645932608,111956.89954288983
4216979.565808966,97140.53296361056,74288.36720509538,118879.53402232996
4179029.6056567114,113822.46145619567,87407.16683292938,127028.76605416468
4134841.0552867395,133114.4385702494,102721.08437877706,136611.42176423516
4083542.720276174,155328.93749635151,120551.15670900002,147865.18551847534
4024198.8942453368,180779.48634481395,141247.93586525327,161061.68354459712
3955826.731863101,209764.61019782515,165187.37667638445,176509.2812626903
3877423.529264578,242545.70651355304,192763.45637052378,194555.30785134606
3788006.01935991,279318.0580755112,224376.59136588775,215587.33119869238
3686663.3847917346,320174.7080894047,260416.89665837915,240033.01046048335
3572624.712199288,365063.8661422285,301241.4616541313,268357.9600043538
3445339.98194279,413741.8784000018,347145.14537499944,301060.9942822104
3304571.1315124477,465725.758401133,398325.0134703356,338666.0966160847
3150486.5481999847,520251.4224722111,454839.51371185033,381710.51561595505
2983748.700194958,576245.9642803443,516564.7690264797,430728.5664982194
2805581.351826408,632323.709539422,583151.9089985732,486231.0296355983
2617801.0000734604,686815.6282261902,653990.8573465496,548680.5143538013
2422798.0263156653,737839.0914646082,728187.1183339036,618463.7638858245
2223457.637091391,783409.4869109622,804558.3176616182,695862.5583360307
2023019.0668747807,821587.2601892796,881656.1599459613,781025.5129899808
1824882.6766966155,850644.9988958312,957816.8047196921,873943.5196878634
1632385.956774564,869231.7127016805,1031238.6412493427,974431.689274415
1448577.6978391327,876508.2406467572,1100081.7491048095,1082120.3124093027
1276021.874400037,872230.5217926463,1162579.0478503217,1196456.5559569965
1116657.8649947266,856766.288596517,1217146.3994716802,1316717.446937078
971732.6122123721,831043.4351291816,1262478.583660245,1442033.368998203
841806.4553166855,796441.2039840728,1297620.2747029043,1571420.0659963386
