,I,N,R,E,S
0,373.0,3673803.0,373.0,0.0,3673057.0
1,131.0,3673803.0,504.0,373.0,3672795.0
2,75.0,3673803.0,579.0,131.0,3673018.0
3,57.0,3673803.0,636.0,75.0,3673035.0
4,43.0,3673803.0,679.0,57.0,3673024.0
5,45.0,3673803.0,724.0,43.0,3672991.0
6,102.0,3673803.0,826.0,45.0,3672830.0
7,175.0,3673803.0,1001.0,102.0,3672525.0
8,314.0,3673803.0,1315.0,175.0,3671999.0
9,402.0,3673803.0,1717.0,314.0,3671370.0
10,572.0,3673803.0,2289.0,402.0,3670540.0
11,318.0,3673803.0,2607.0,572.0,3670306.0
12,584.0,3673803.0,3191.0,318.0,3669710.0
13,512.0,3673803.0,3703.0,584.0,3669004.0
14,512.0,3673803.0,4215.0,512.0,3668564.0
15,512.0,3673803.0,4727.0,512.0,3668052.0
16,133.0,3673803.0,4860.0,512.0,3668298.0
17,268.0,3673803.0,5128.0,133.0,3668274.0
18,698.0,3673803.0,5826.0,268.0,3667011.0
19,1381.0,3673803.0,7207.0,698.0,3664517.0
20,2526.0,3673803.0,9733.0,1381.0,3660163.0
21,3889.0,3673803.0,13622.0,2526.0,3653766.0
22,2391.0,3673803.0,16013.0,3889.0,3651510.0
23,735.0,3673803.0,16748.0,2391.0,3653929.0
24,688.0,3673803.0,17436.0,735.0,3654944.0
25,460.0,3673803.0,17896.0,688.0,3654759.0
26,284.0,3673803.0,18180.0,460.0,3654879.0
27,178.0,3673803.0,18358.0,284.0,3654983.0
28,127.0,3673803.0,18485.0,178.0,3655013.0
29,188.0,3673803.0,18673.0,127.0,3654815.0
30,435.0,3673803.0,19108.0,188.0,3654072.0
31,766.0,3673803.0,19874.0,435.0,3652728.0
32,621.0,3673803.0,20495.0,766.0,3651921.0
33,581.0,3673803.0,21076.0,621.0,3651525.0
34,530.0,3673803.0,21606.0,581.0,3651086.0
35,429.0,3673803.0,22035.0,530.0,3650809.0
36,489.0,3673803.0,22524.0,429.0,3650361.0
37,329.0,3673803.0,22853.0,489.0,3650132.0
38,228.0,3673803.0,23081.0,329.0,3650165.0
39,120.0,3673803.0,23201.0,228.0,3650254.0
40,107.0,3673803.0,23308.0,120.0,3650268.0
41,197.0,3673803.0,23505.0,107.0,3649994.0
42,659.0,3673803.0,24164.0,197.0,3648783.0
43,808.0,3673803.0,24972.0,659.0,3647364.0
44,669.0,3673803.0,25641.0,808.0,3646685.0
45,722.0,3673803.0,26363.0,669.0,3646049.0
46,978.0,3673803.0,27341.0,722.0,3644762.0
47,896.0,3673803.0,28237.0,978.0,3643692.0
48,1064.0,3673803.0,29301.0,896.0,3642542.0
49,634.0,3673803.0,29935.0,1064.0,3642170.0
50,366.0,3673803.0,30301.0,634.0,3642502.0
51,186.0,3673803.0,30487.0,366.0,3642764.0
52,157.0,3673803.0,30644.0,186.0,3642816.0
53,190.0,3673803.0,30834.0,157.0,3642622.0
54,422.0,3673803.0,31256.0,190.0,3641935.0
55,609.0,3673803.0,31865.0,422.0,3640907.0
56,825.0,3673803.0,32690.0,609.0,3639679.0
57,1088.0,3673803.0,33778.0,825.0,3638112.0
58,1215.0,3673803.0,34993.0,1088.0,3636507.0
59,887.0,3673803.0,35880.0,1215.0,3635821.0
60,1030.0,3673803.0,36910.0,887.0,3634976.0
61,788.0,3673803.0,37698.0,1030.0,3634287.0
62,393.0,3673803.0,38091.0,788.0,3634531.0
63,185.0,3673803.0,38276.0,393.0,3634949.0
64,250.0,3673803.0,38526.0,185.0,3634842.0
65,763.0,3673803.0,39289.0,250.0,3633501.0
66,3534.0,3673803.0,42823.0,763.0,3626683.0
67,4892.0,3673803.0,47715.0,3534.0,3617662.0
68,4359.0,3673803.0,52074.0,4892.0,3612478.0
69,2772.0,3673803.0,54846.0,4359.0,3611826.0
70,1615.0,3673803.0,56461.0,2772.0,3612955.0
71,1055.0,3673803.0,57516.0,1615.0,3613617.0
72,1328.0,3673803.0,58844.0,1055.0,3612576.0
73,597.0,3673803.0,59441.0,1328.0,3612437.0
74,216.0,3673803.0,59657.0,597.0,3613333.0
75,31.0,3673803.0,59688.0,216.0,3613868.0
76,21.0,3673803.0,59709.0,31.0,3614042.0
77,53.0,3673803.0,59762.0,21.0,3613967.0
78,59.0,3673803.0,59821.0,53.0,3613870.0
79,54.0,3673803.0,59875.0,59.0,3613815.0
80,68.0,3673803.0,59943.0,54.0,3613738.0
81,139.0,3673803.0,60082.0,68.0,3613514.0
82,229.0,3673803.0,60311.0,139.0,3613124.0
83,250.0,3673803.0,60561.0,229.0,3612763.0
84,500.0,3673803.0,61061.0,250.0,3611992.0
85,331.0,3673803.0,61392.0,500.0,3611580.0
86,232.0,3673803.0,61624.0,331.0,3611616.0
87,103.0,3673803.0,61727.0,232.0,3611741.0
88,85.0,3673803.0,61812.0,103.0,3611803.0
89,109.0,3673803.0,61921.0,85.0,3611688.0
90,180.0,3673803.0,62101.0,109.0,3611413.0
91,109.0,3673803.0,62210.0,180.0,3611304.0
92,98.0,3673803.0,62308.0,109.0,3611288.0
93,254.0,3673803.0,62562.0,98.0,3610889.0
94,461.0,3673803.0,63023.0,254.0,3610065.0
95,267.0,3673803.0,63290.0,461.0,3609785.0
96,97.0,3673803.0,63387.0,267.0,3610052.0
97,135.0,3673803.0,63522.0,97.0,3610049.0
98,93.0,3673803.0,63615.0,135.0,3609960.0
99,118.0,3673803.0,63733.0,93.0,3609859.0
100,173.0,3673803.0,63906.0,118.0,3609606.0
101,395.0,3673803.0,64301.0,173.0,3608934.0
102,976.0,3673803.0,65277.0,395.0,3607155.0
103,1314.0,3673803.0,66591.0,976.0,3604922.0
104,905.0,3673803.0,67496.0,1314.0,3604088.0
105,905.0,3673803.0,68401.0,905.0,3603592.0
106,519.0,3673803.0,68920.0,905.0,3603459.0
107,359.0,3673803.0,69279.0,519.0,3603646.0
108,490.0,3673803.0,69769.0,359.0,3603185.0
109,265.0,3673803.0,70034.0,490.0,3603014.0
110,222.0,3673803.0,70256.0,265.0,3603060.0
111,221.0,3673803.0,70477.0,222.0,3602883.0
112,190.0,3673803.0,70667.0,221.0,3602725.0
